# id	file_path	transparent_color_r	g	b
[TEXTURES]
500	map\map2_bank.png	255	255	255
0	textures\gimmick.png	0	0	255
10	textures\gimmick2.png	0	0	255
20	textures\enemy.png	57	189	255
30	textures\enemy2.png	57	189	255
40	textures\item.png	215	121	214
50	textures\enemy4.png	203	102	185
60	textures\HUB.png	0	0	255
70	textures\enemy3.png	0	0	255
80	textures\Cai-Long.png	203	102	185
90	textures\Window.png	215	121	214
100	textures\treasures.png	60	188	252
110	textures\HUD2.png	255	13	17
120	textures\item2.png	60	188	252
130	textures\enemy5.png	57	189	255
140	textures\enemy6.png	0	0	255
150	textures\enemy7.png	0	0	255
160	textures\enemy8.png	0	0	255
170	textures\Map2.png	54	168	167
200	textures\Map2-box.png	255	255	255
#ID	TRTileSet	TCTileSet	TRMap	TCMap	TotalTiles	Matrix_Path
[MAP]
500	20	11	60	128	210	map\map2_map.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#boat
902	90020	200	90021	200	90022	200	90023	200
903	90030	200	90031	200	90032	200	90033	200
#=======Song-dam
904	90040	200	90041	200	90042	200	90043	200
905	90050	200	90051	200	90052	200	90053	200
906	90060	200	90061	200	90062	200	90063	200
907	90070	200	90071	200	90072	200	90073	200
#===Co
1700	150101	100	150102	100	150103	100	150104	100

#===BOX
2000	200000	100
#boat
3001	3001	100
#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]
#boat
3001	3001
# GimMick
#idle (l,r), walk (l,r), jump (l,r), colision (l,r)
1	101	100	103	102	104	105	106	107	108
#===Boss-vàng
#walk(r,l), attack(r,l), jump(r,l), being-attacked(r,l), die, kiếm-die
107	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809

#brick
4	400
#gimmick ani die
80	108
#star
90	200	201	865
#Song
91	900
92	901
93	902
94	903
95	904
96	905
97	906
98	907
#===Co
106	1700

#===BOX
200	2000
#medicine
#pink medicine
60	600
#orange medicine
61	601
#pink-bomb medicine
62	602
#black-bomb medicine
63	603
#dong ho cat 
64	1500
#===Quái xanh
#Walk(r,l), jump(r,l), die
102	1300	1301	1302	1303	1304

#===Đại bác
#Idle, Bị đẩy
103	1400	1401
#====GreenTurtle
#walk(r,l), die
100	1100	1101	1102
[OBJECTS]

1	32	224	4
1	32	240	4
1	32	256	4
1	48	224	4
1	48	240	4
1	48	256	4
1	64	224	4
1	64	240	4
1	64	256	4
1	80	224	4
1	80	240	4
1	80	256	4
1	96	224	4
1	96	240	4
1	96	256	4
1	112	224	4
1	112	240	4
1	112	256	4
1	160	224	4
1	160	240	4
1	160	256	4
1	176	224	4
1	176	240	4
1	176	256	4
1	224	224	4
1	224	240	4
1	224	256	4
1	240	224	4
1	240	240	4
1	240	256	4
1	288	224	4
1	288	240	4
1	288	256	4
1	304	224	4
1	304	240	4
1	304	256	4
1	320	224	4
1	320	240	4
1	320	256	4
1	336	224	4
1	336	240	4
1	336	256	4
1	352	224	4
1	352	240	4
1	352	256	4
1	368	224	4
1	368	240	4
1	368	256	4
1	416	224	4
1	416	240	4
1	416	256	4
1	416	272	4
1	416	288	4
1	432	224	4
1	432	240	4
1	432	256	4
1	432	272	4
1	432	288	4
1	480	224	4
1	480	240	4
1	480	256	4
1	1760	224	4
1	1760	240	4
1	1776	224	4
1	1776	240	4
1	1792	224	4
1	1792	240	4
1	1808	224	4
1	1808	240	4
1	1824	224	4
1	1824	240	4
1	1840	224	4
1	1840	240	4
1	1856	224	4
1	1856	240	4
1	1872	224	4
1	1872	240	4
#JUMP-TO-THE-JACHT BRICKS
1	1568	400	4
1	1584	400	4
1	1616	352	4
1	1632	304	4
1	1648	256	4
1	1664	256	4
#JACHT BRICKS
#LONG TOP WOODS
1	688	432	4
1	672	432	4
1	656	432	4
1	736	480	4
1	720	480	4
1	704	480	4
1	688	480	4
1	672	480	4
1	864	464	4
1	848	464	4
1	832	464	4
1	816	464	4
1	800	464	4
1	784	464	4
1	768	464	4
1	752	464	4
1	736	464	4
1	880	448	4
1	896	432	4
1	896	416	4
1	912	416	4
1	928	416	4
1	944	416	4
1	960	416	4
1	976	416	4
1	992	416	4
1	1008	416	4
1	1024	416	4
1	1040	416	4
1	1056	416	4
1	1072	416	4
1	1088	416	4
1	1104	416	4
1	1120	416	4
1	1136	416	4
1	1152	416	4
1	1168	416	4
1	1184	416	4
1	1200	416	4
1	1216	416	4
1	1232	416	4
1	1248	416	4
1	1264	416	4
1	1280	416	4
1	1296	416	4
1	1312	416	4
1	1328	416	4
1	1344	416	4
1	1360	416	4
1	1376	416	4
1	1392	416	4
1	1408	416	4
1	1424	416	4
1	1440	416	4
1	1456	416	4
1	1472	416	4
1	1488	416	4
1	1504	416	4
1	1520	416	4
1	1536	416	4
#TOP-WOOD at BOSS
1	1664	448	4
1	1680	448	4
1	1696	448	4
1	1712	448	4
1	1728	448	4
1	1744	448	4
1	1760	448	4
1	1776	448	4
1	1792	448	4
1	1808	448	4
1	1824	448	4
1	1840	448	4
1	1856	448	4
1	1872	448	4
1	1888	448	4
1	1904	448	4
1	1920	448	4
1	1936	448	4
1	1952	448	4
1	1968	448	4
1	1984	448	4
1	2000	448	4
1	2016	448	4
#JUMP-TO-THE-FLAG BRICKS
#left
1	864	688	4
1	848	688	4

1	816	608	4
1	800	608	4

1	864	544	4
1	848	544	4

#right
1	1664	528	4
1	1680	528	4
1	1712	592	4
1	1728	592	4
1	1680	656	4
1	1696	656	4
1	1712	656	4
1	928	624	4
1	944	624	4
1	960	624	4
1	976	624	4
1	992	624	4
1	1008	624	4
1	1024	624	4
1	1040	624	4
1	1056	624	4
1	1072	624	4
1	1088	624	4
1	1104	624	4
1	1120	624	4
1	1136	624	4
1	1152	624	4
1	1168	624	4
1	1184	624	4
1	1200	624	4
1	1216	624	4
1	1264	624	4
1	1280	624	4
1	1296	624	4
1	1312	624	4
1	1328	624	4
1	1344	624	4
1	1360	624	4
1	1376	624	4
1	1392	624	4
1	1408	624	4
1	1424	624	4
1	1440	624	4
1	1456	624	4
1	1472	624	4
1	1488	624	4
1	1504	624	4
1	1520	624	4
1	1536	624	4
1	1504	640	4
1	1520	640	4
1	1536	640	4
1	1552	640	4
1	1568	640	4
1	1584	640	4
1	800	480	4
1	784	480	4
1	768	480	4
1	752	480	4
1	800	496	4
1	784	496	4
1	768	496	4
1	752	496	4
1	1248	496	4
1	1264	496	4
1	1280	496	4
1	1296	496	4
1	1312	496	4
1	1328	496	4
1	1248	512	4
1	1264	512	4
1	1280	512	4
1	1296	512	4
1	1312	512	4
1	1328	512	4
1	1024	16	4
1	1040	16	4
1	1056	16	4
1	1072	16	4
1	1088	16	4
1	1104	16	4
1	1120	16	4
1	1136	16	4
1	1152	16	4
1	1168	16	4
1	1184	16	4
1	1200	16	4
1	1216	16	4
1	1232	16	4
1	1248	16	4
1	1264	16	4
1	1280	16	4
1	1296	16	4
1	1312	16	4
1	1328	16	4
1	1344	16	4
1	1360	16	4
1	1376	16	4
1	1392	16	4
1	1408	16	4
1	1424	16	4
1	1440	16	4
1	1456	16	4
1	1472	16	4
1	1488	16	4
1	1504	16	4
1	1520	16	4
1	1024	32	4
1	1040	32	4
1	1056	32	4
1	1072	32	4
1	1088	32	4
1	1104	32	4
1	1120	32	4
1	1136	32	4
1	1152	32	4
1	1168	32	4
1	1184	32	4
1	1200	32	4
1	1216	32	4
1	1232	32	4
1	1248	32	4
1	1264	32	4
1	1280	32	4
1	1296	32	4
1	1312	32	4
1	1328	32	4
1	1344	32	4
1	1360	32	4
1	1376	32	4
1	1392	32	4
1	1408	32	4
1	1424	32	4
1	1440	32	4
1	1456	32	4
1	1472	32	4
1	1488	32	4
1	1504	32	4
1	1520	32	4
1	1022	48	4
1	1040	48	4
1	1056	48	4
1	1072	48	4
1	1088	48	4
1	1104	48	4
1	1120	48	4
1	1408	48	4
1	1424	48	4
1	1440	48	4
1	1456	48	4
1	1472	48	4
1	1488	48	4
1	1504	48	4
1	1520	48	4
1	1020	64	4
1	1040	64	4
1	1056	64	4
1	1072	64	4
1	1088	64	4
1	1104	64	4
1	1120	64	4
1	1424	64	4
1	1440	64	4
1	1456	64	4
1	1472	64	4
1	1488	64	4
1	1504	64	4
1	1520	64	4
#1	1024	80	4
1	1440	80	4
1	1456	80	4
1	1472	80	4
1	1488	80	4
1	1504	80	4
1	1520	80	4
1	1024	96	4
1	1154	96	4
1	1184	96	4
1	1200	96	4
1	1216	96	4
1	1232	96	4
1	1248	96	4
1	1264	96	4
1	1280	96	4
1	1296	96	4
1	1312	96	4
1	1328	96	4
1	1344	96	4
1	1360	96	4
1	1456	96	4
1	1472	96	4
1	1488	96	4
1	1504	96	4
1	1520	96	4
1	1024	112	4
1	1184	112	4
1	1200	112	4
1	1216	112	4
1	1232	112	4
1	1248	112	4
1	1264	112	4
1	1280	112	4
1	1296	112	4
1	1312	112	4
1	1328	112	4
1	1344	112	4
1	1360	112	4
1	1520	112	4
1	1024	128	4
1	1248	128	4
1	1264	128	4
1	1280	128	4
1	1296	128	4
1	1520	128	4
1	1024	144	4
1	1200	148	4
1	1214	148	4
1	1248	144	4
1	1264	144	4
1	1280	144	4
1	1296	144	4
1	1330	148	4
1	1344	148	4
1	1520	144	4
1	1024	160	4
1	1200	160	4
1	1214	160	4
1	1248	160	4
1	1264	160	4
1	1280	160	4
1	1296	160	4
1	1330	160	4
1	1344	160	4
1	1520	160	4
1	1024	176	4
1	1040	176	4
1	1056	176	4
1	1072	176	4
1	1088	176	4
1	1104	176	4
1	1120	176	4
1	1136	176	4
1	1152	176	4
1	1168	176	4
1	1184	176	4
1	1200	176	4
1	1214	176	4
1	1248	176	4
1	1264	176	4
1	1280	176	4
1	1296	176	4
1	1330	176	4
1	1344	176	4
1	1360	176	4
1	1376	176	4
1	1392	176	4
1	1408	176	4
1	1424	176	4
1	1440	176	4
1	1456	176	4
1	1472	176	4
1	1488	176	4
1	1504	176	4
1	1520	176	4
1	1024	192	4
1	1040	192	4
1	1056	192	4
1	1072	192	4
1	1088	192	4
1	1104	192	4
1	1120	192	4
1	1136	192	4
1	1152	192	4
1	1168	192	4
1	1184	192	4
1	1200	192	4
1	1214	192	4
1	1248	192	4
1	1264	192	4
1	1280	192	4
1	1296	192	4
1	1330	192	4
1	1344	192	4
1	1360	192	4
1	1376	192	4
1	1392	192	4
1	1408	192	4
1	1424	192	4
1	1440	192	4
1	1456	192	4
1	1472	192	4
1	1488	192	4
1	1504	192	4
1	1520	192	4
1	0	464	4
1	16	464	4
1	32	464	4
1	48	464	4
1	64	464	4
1	80	464	4
1	96	464	4
1	112	464	4
1	128	464	4
1	144	464	4
1	160	464	4
1	176	464	4
1	192	464	4

1	0	480	4
1	16	480	4
1	32	480	4
1	48	480	4
1	64	480	4

1	0	496	4
1	16	496	4
1	32	496	4
1	48	496	4

1	112	496	4
1	128	496	4
1	144	496	4
1	160	496	4
1	176	496	4
1	192	496	4

1	-2	512	4

1	-2	528	4
1	32	532	4


1	240	528	4

1	-2	544	4
1	32	544	4

1	240	544	4

1	-2	560	4
1	32	560	4

1	240	560	4

1	-2	576	4
1	32	576	4

1	240	576	4

1	-2	592	4
1	32	592	4

1	240	592	4

1	-2	608	4
1	32	608	4

1	240	608	4

1	-2	624	4
1	32	624	4

1	240	624	4

1	-2	640	4
1	32	640	4

1	240	640	4

1	-2	656	4
1	32	656	4
1	48	656	4
1	64	656	4
1	80	656	4
1	96	656	4
1	112	656	4
1	128	656	4
1	144	656	4

1	240	656	4

1	-2	672	4

1	240	672	4

1	-2	692	4
1	16	692	4
1	32	692	4
1	48	692	4
1	64	692	4
1	80	692	4

1	160	688	4
1	176	688	4
1	192	688	4
1	208	688	4
1	224	688	4
1	240	688	4
1	256	688	4
1	272	688	4
1	288	688	4
1	304	688	4
1	320	688	4

1	-2	704	4

1	-2	720	4
1	240	720	4

1	-2	736	4
1	240	736	4

1	-2	752	4
1	240	752	4

1	-2	768	4
1	16	768	4
1	32	768	4
1	48	768	4
1	64	768	4
1	80	768	4
1	96	768	4
1	112	768	4
1	128	768	4
1	144	768	4
1	160	768	4
1	176	768	4
1	192	768	4
1	208	768	4
1	224	768	4
1	240	768	4

1	-2	784	4
1	16	784	4
1	32	784	4
1	48	784	4
1	64	784	4
1	80	784	4
1	96	784	4
1	112	784	4
1	128	784	4
1	144	784	4
1	160	784	4
1	176	784	4
1	192	784	4
1	208	784	4
1	224	784	4
1	240	784	4

1	304	784	4
1	320	784	4
1	336	784	4
1	352	784	4
1	368	784	4

1	-2	800	4
1	368	800	4

1	-2	800	4
1	368	800	4
1	0	816	4
1	368	816	4

1	-2	832	4
1	224	832	4
1	368	832	4

1	-2	848	4
1	176	848	4
1	368	848	4

1	-2	864	4
1	128	864	4
1	368	864	4

1	-2	880	4
1	80	880	4
1	368	880	4

1	-2	896	4
1	32	896	4
1	368	896	4

1	0	912	4
1	368	912	4
1	0	928	4
1	368	928	4
1	0	944	4
1	368	944	4

1	0	960	4
1	16	960	4
1	32	960	4
1	48	960	4
1	64	960	4
1	80	960	4
1	96	960	4
1	112	960	4
1	128	960	4
1	144	960	4
1	160	960	4
1	176	960	4
1	192	960	4
1	208	960	4
1	224	960	4
1	240	960	4
1	256	960	4
1	272	960	4
1	288	960	4
1	304	960	4
1	320	960	4
1	336	960	4
1	352	960	4
1	368	960	4

1	1296	432	4
1	1280	432	4
1	1264	432	4
1	1248	432	4


1	1024	208	4
1	1040	208	4
1	1056	208	4
1	1072	208	4
1	1088	208	4
1	1104	208	4
1	1120	208	4
1	1136	208	4
1	1152	208	4
1	1168	208	4
1	1184	208	4
1	1200	208	4
1	1216	208	4
1	1232	208	4
1	1248	208	4
1	1264	208	4
1	1280	208	4
1	1296	208	4
1	1312	208	4
1	1328	208	4
1	1344	208	4
1	1360	208	4
1	1376	208	4
1	1392	208	4
1	1408	208	4
1	1424	208	4
1	1440	208	4
1	1456	208	4
1	1472	208	4
1	1488	208	4
1	1504	208	4
1	1520	208	4

#star
21	150	200	90


#yellowboss
1235	1800	500	107
# dong ho cat
1234	1800	300	64
# Gimmick
#0	1785	300	1
#0	1744	500	1
# Gimmick đầu game
0	41	690	1
# Gimmick test đại bác vs green boss
#0	723	500	1

#=====Đại bác
72	700	520	103

# Green Boss
73	900	500	102
#=====GreenTurtle
71	290	281	100
71	417	350	100

#Song
63	0	208	91
63	16	208	92
63	32	208	97
63	48	208	98
63	64	208	95
63	80	208	96
63	96	208	97
63	112	208	98
63	128	208	91
63	144	208	92
63	160	208	97
63	176	208	98
63	192	208	91
63	208	208	92
63	224	208	97
63	240	208	98
63	256	208	91
63	272	208	92
63	288	208	97
63	304	208	98
63	320	208	95
63	336	208	96
63	352	208	97
63	368	208	98
63	384	208	91
63	400	208	92
63	416	208	97
63	432	208	98
63	448	208	91
63	464	208	92
63	480	208	97
63	496	208	94
63	512	208	91
63	528	208	92
63	544	208	93
63	560	208	94
63	576	208	91
63	592	208	92
63	608	208	93
63	624	208	94
63	640	208	91
63	656	208	92
63	672	208	93
63	688	208	94
63	704	208	91
63	720	208	92
63	736	208	93
63	752	208	94
63	768	208	91
63	784	208	92
63	800	208	93
63	816	208	98
63	832	208	95
63	848	208	96
63	864	208	97
63	880	208	98
63	896	208	95
63	912	208	96
63	928	208	97
63	944	208	98
63	960	208	95
63	976	208	96
63	992	208	97
63	1008	208	98
63	1024	208	95
63	1040	208	96
63	1056	208	97
63	1072	208	98
63	1088	208	95
63	1104	208	96
63	1120	208	97
63	1136	208	98
63	1152	208	95
63	1168	208	96
63	1184	208	97
63	1200	208	98
63	1216	208	95
63	1232	208	96
63	1248	208	97
63	1264	208	98
63	1280	208	95
63	1296	208	96
63	1312	208	97
63	1328	208	98
63	1344	208	95
63	1360	208	96
63	1376	208	97
63	1392	208	98
63	1408	208	95
63	1424	208	96
63	1440	208	97
63	1456	208	98
63	1472	208	95
63	1488	208	96
63	1504	208	97
63	1520	208	98
63	1536	208	95
63	1552	208	96
63	1568	208	97
63	1584	208	98
63	1600	208	95
63	1616	208	96
63	1632	208	97
63	1648	208	98
63	1664	208	95
63	1680	208	96
63	1696	208	91
63	1712	208	92
63	1728	208	93
63	1744	208	98
63	1760	208	95
63	1776	208	96
63	1792	208	97
63	1808	208	98
63	1824	208	95
63	1840	208	96
63	1856	208	97
63	1872	208	94
63	1888	208	91
63	1904	208	92
63	1920	208	93
63	1936	208	94
63	1952	208	91
63	1968	208	92
63	1984	208	93
63	2000	208	94
63	2016	208	91
63	2032	208	92
63	2048	208	93
#la-co
49	803	728	200
49	803	728	106
49	1043	744	200
49	1043	744	106
49	1379	744	200
49	1379	744	106
#boat
55555	496	224	3001
